"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"AN/ARC-143 RADIO SET","Electronics, Comms, & Sensors",-71551.1363957192,0,672,361,NA
"MPS","Electronics, Comms, & Sensors",-79980.946299125,0,673,361,NA
"H-43 HUSKIE","Electronics, Comms, & Sensors",-80167.7094025127,0,674,361,NA
"AN/APA-74","Electronics, Comms, & Sensors",-88823.1508243912,0,675,361,NA
"MGM-29 SERGEANT","Ordnance and Missiles",-99376.5783273878,0,315,177.5,NA
"7.62MM M134 AUTOMATIC","Ordnance and Missiles",-100888.515908766,0,316,177.5,NA
"LAUNCHER LAU-3A","Missile Defense",-105549.37527714,0,80,46,NA
"CRANE 750 TON","Facilities and Construction",-111491.132851162,0,140,77,NA
"MSE","Aircraft",-114168.040967771,0,456,252.5,NA
"1500 KW SSTG","Ships & Submarines",-119251.893992865,0,234,128.5,NA
"AN/TSQ-84 (AACOMS)","Electronics, Comms, & Sensors",-131177.083392152,0,676,361,NA
"AN/TPN-22","Electronics, Comms, & Sensors",-142879.810899049,0,677,361,NA
"GSS","Electronics, Comms, & Sensors",-149915.887071396,0,678,361,NA
"TRUCK CONCRETE","Land Vehicles",-155103.772670598,0,205,110,NA
"AN/USM-207","Electronics, Comms, & Sensors",-157364.523140464,0,679,361,NA
"AN/SQQ-23","Ships & Submarines",-166959.920892931,0,235,128.5,NA
"FIM-43 REDEYE (LONGBOW)","Ordnance and Missiles",-166959.920892931,0,317,177.5,NA
"M107 GUN 175MM","Ordnance and Missiles",-168879.000443424,0,318,177.5,NA
"CARGO 1 1/4 TON 6X6 M561","Land Vehicles",-206823.225246263,0,206,110,NA
"U-4 AERO COMMANDER","Aircraft",-212116.621808521,0,457,252.5,NA
"MINESWEEPER COASTAL-MSCO","Ships & Submarines",-228729.752990615,0,236,128.5,NA
"AN/ARC-34","Electronics, Comms, & Sensors",-274279.35618359,0,680,361,NA
"TYPE 15 PERISCOPE","Facilities and Construction",-333452.848491203,0,141,77,NA
"FIV","Land Vehicles",-336126.598903655,0,207,110,NA
"SEP","Ships & Submarines",-347840.394441058,0,237,128.5,NA
"AN/SPS 30","Electronics, Comms, & Sensors",-351191.557740303,0,681,361,NA
"CARGO 8 TON 4X4 XM520(GOE","Land Vehicles",-520733.270435512,0,208,110,NA
"DTS","Aircraft",-521275.817504548,0,458,252.5,NA
"LANDING SHIP MEDIUM-LSM","Ships & Submarines",-596833.740203466,0,238,128.5,NA
"AN/APS-107","Electronics, Comms, & Sensors",-599131.727067414,0,682,361,NA
"SICBM SM INT BALL MSL","Ordnance and Missiles",-606053.57080169,0,319,177.5,NA
"AN/SSQ-1(DIRECTIONAL)","Electronics, Comms, & Sensors",-696625.876829126,0,683,361,NA
"TSEC/KY-57","Electronics, Comms, & Sensors",-719014.879838438,0,684,361,NA
"425L NORAD COC","Electronics, Comms, & Sensors",-748914.658834268,0,685,361,NA
"UHF FOLLOW-ON","Space Systems",-777631.325521812,0,59,34,NA
"AN/TSC-99 HF RADIO","Electronics, Comms, & Sensors",-814149.456466585,0,686,361,NA
"H/LGM 25 TITAN","Ordnance and Missiles",-874110.446487606,0,320,177.5,NA
"RPV (STING RAY)","Aircraft",-884341.601700485,0,459,252.5,NA
"ATS","Other Services",-1018974.62000613,0,36,20,NA
"XM454 PROJ","Ordnance and Missiles",-1028626.63906449,0,321,177.5,NA
"ATR","Aircraft",-1035215.7379541,0,460,252.5,NA
"M-X CMD CTRL & COMM SYS","Electronics, Comms, & Sensors",-1242440.55574936,0,687,361,NA
"AN/SLQ-21 ECM","Electronics, Comms, & Sensors",-1275422.3690097,0,688,361,NA
"407L TACTICAL AIR CONTROL","Electronics, Comms, & Sensors",-1346678.93993172,0,689,361,NA
"AGM-45 SHRIKE","Ordnance and Missiles",-1356313.36222108,0,322,177.5,NA
"1200 PSI STEAM SYSTEM","Ships & Submarines",-1411422.54463972,0,239,128.5,NA
"PHOTO PROC INTREP SYS","Electronics, Comms, & Sensors",-1735620.3094694,0,690,361,NA
"FIREBRAND TARGET","Aircraft",-1849288.63690547,0,461,252.5,NA
"155MM HE","Ordnance and Missiles",-1857818.72973575,0,323,177.5,NA
"J-65","Ships & Submarines",-1860161.19248254,0,240,128.5,NA
"M712 155MM","Ordnance and Missiles",-1982278.49563268,0,324,177.5,NA
"UTILITY 1 1/4 TN M561","Land Vehicles",-2152465.28441718,0,209,110,NA
"1GPA","Other R&D and Knowledge Based",-2229250.0333237,0,103,59.5,NA
"CNG","Ordnance and Missiles",-2663362.34442884,0,325,177.5,NA
"AN/GRC-106 RADIO","Electronics, Comms, & Sensors",-3853498.79752815,0,691,361,NA
"ATR","Other R&D and Knowledge Based",-5595428.41538877,0,104,59.5,NA
"MQM-74","Ordnance and Missiles",-5782136.88139099,0,326,177.5,NA
"QM-107 GD MSL TGT SYS","Space Systems",-5927874.95788996,0,60,34,NA
"SHOP VAN 6 TON M146","Land Vehicles",-5958022.95288937,0,210,110,NA
"CNZ","Ordnance and Missiles",-6279070.56984624,0,327,177.5,NA
"TF-41","Aircraft",-6380009.43775684,0,462,252.5,NA
"70MM GUN (VIPER)","Ordnance and Missiles",-6828085.04065573,0,328,177.5,NA
"SCY","Ordnance and Missiles",-28569894.8733934,0,329,177.5,NA
"490L AUTOVON DCS AUTOMATI","Electronics, Comms, & Sensors",-31424118.4630511,0,692,361,NA
"AFATDS (ATCCS)","Electronics, Comms, & Sensors",-92490776.2444332,0,693,361,NA
