Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2010,NA,Defense,Army,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large (Small Subsidiary),TRUE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2010-01-01,2010,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Large,0,FFP,NA,FFP,FFP,Fixed-Price,NA
1997,NA,Defense,Army,PAMS,Facilities and Construction,NA,NA,NA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,NA,J,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4767453,NA,41,1997-01-01,1997,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,NA,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,8386842.310601969,FFP,NA,FFP,FFP,Crosscutting,NA
2010,NA,Defense,Navy,Applied Research (6.2),"Electronics, Comms, & Sensors",NA,NA,DCA,Limited Competition with multiple offers,10-24 Offers,Other CB,U,Small,TRUE,N,N,X,2011,FALSE,2010,>1-2 Years,>2-4 Years,4,685596,NA,4,2010-01-01,2010,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Navy,Small,933214.8047426988,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2003,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,Y,N,X,2005,FALSE,1900,NA,>1-2 Years,2,5014,NA,2,2003-01-01,2003,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,7949.850365154432,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2011,NA,Defense,DISA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,GWAC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,X,2011,FALSE,2012,>7-12 Months,<=2 Months,1,-103906.9531,NA,1,2011-01-01,2011,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Small,-138652.4024161971,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,X,2003,FALSE,1900,NA,>2-7 Months,1,575000,NA,1,2002-01-01,2002,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,929179.9049755667,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2012,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,Y,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,1,-75816.4375,NA,1,2012-01-01,2012,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,-99365.60585324628,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),100+ Offers,NA,NO,Small,FALSE,Y,N,X,2003,FALSE,1900,NA,>7-12 Months,13,2630891,NA,13,2002-01-01,2002,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Small,4251427.911967085,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2022,2,Defense,DLA,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,TRUE,N,N,NA,2022,NA,2022,>7-12 Months,>7-12 Months,3,35777.74,NA,3,2022-01-01,2022.2,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,37414.44977172858,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,N,N,NA,2017,TRUE,2018,>2-4 Years,>1-2 Years,3,3031628.5,NA,3,2016-01-01,2016,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,3763177.66070042,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2005,NA,Defense,Army,Other,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),100+ Offers,NA,NO,Medium <1B,FALSE,Y,N,X,2005,FALSE,1900,NA,>2-7 Months,17,339275.3701,NA,17,2005-01-01,2005,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Medium,509601.8758519591,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2020,NA,Defense,Navy,ERS,Other Services,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium >1B,TRUE,N,N,NA,2020,FALSE,2020,>2-7 Months,>2-7 Months,3,6804680,3226339,3,2020-01-01,2020,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Medium,7875673.532538394,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Navy,Construction,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Competition with single offer (Overrode blank Fair Opportunity),One Offer,FFP,J,Large,TRUE,N,N,X,2005,FALSE,1900,NA,>1-2 Years,8,96959,NA,8,2005-01-01,2005,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Large,145635.35297645262,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2015,NA,Defense,DLA,FRS,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,Y,N,X,2018,TRUE,2023,>4 years,>4 years,5,48000,NA,5,2015-01-01,2015,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,DLA,Small,60059.04058940861,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2012,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Large,TRUE,N,N,Y,2013,FALSE,2015,>4 years,>2-4 Years,5,13840636.3126,NA,5,2012-01-01,2012,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,18139644.356092826,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2013,NA,Defense,DLA,Fuels,Other Products,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,NA,2013,NA,2012,<=2 Months,>7-12 Months,1,-260.83,NA,1,2013-01-01,2013,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Fuels,Products (All),Products (All),Other Products,DLA,Medium,-335.75364430150273,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,Y,N,NA,2021,NA,2025,>4 years,>7-12 Months,2,826245.87,NA,2,2020-01-01,2020,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,956289.3082008499,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2007,NA,Defense,DLA,Fuels,Other Products,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2008,FALSE,2009,>1-2 Years,>1-2 Years,7,74894.4998,NA,7,2007-01-01,2007,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Fuels,Products (All),Products (All),Other Products,DLA,Medium,106035.39309643436,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,Y,Y,NA,2012,FALSE,2011,<=2 Months,>2-7 Months,4,66053,NA,4,2011-01-01,2011,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,88140.46474813885,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,NA,2022,NA,2021,>2-7 Months,>1-2 Years,1,-100,NA,1,2021-01-01,2021,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-111.88817598517046,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2010,NA,Defense,Army,FRS,Facilities and Construction,FALSE,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,N,N,X,2013,FALSE,2010,>2-4 Years,>4 years,2,479271.0313,NA,2,2010-01-01,2010,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,652370.815893706,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,4,Defense,DLA,Other,Aircraft,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,NA,2021,NA,2021,>2-7 Months,>2-7 Months,2,-39375,NA,2,2022-01-01,2022.4,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,-41176.272167046125,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,DLA,Aircraft,Aircraft,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Small,FALSE,N,N,X,2007,FALSE,1900,NA,>1-2 Years,2,341771,NA,2,2006-01-01,2006,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,497199.2128863557,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2013,NA,Defense,Other DoD,Applied Research (6.2),"Electronics, Comms, & Sensors",NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Large: Big 5,TRUE,N,N,Y,2014,FALSE,2015,>2-4 Years,>1-2 Years,1,0,NA,1,2013-01-01,2013,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Other DoD,Big Five,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2008,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,X,2008,FALSE,2009,>2-7 Months,<=2 Months,1,-2073,NA,1,2008-01-01,2008,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-2875.2540608747126,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,DLA,ERS,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,NA,2018,NA,2018,>2-7 Months,>2-7 Months,1,60821.1,NA,1,2017-01-01,2017,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,DLA,Medium,74244.31678426234,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Navy,MED,Other Services,NA,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2017,NA,2017,>2-4 Years,>2-4 Years,2,-30660,NA,2,2017-01-01,2017,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Medium,-37426.66200718966,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2015,NA,Defense,Navy,Other,Ships & Submarines,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2015,NA,2015,>2-7 Months,>2-7 Months,2,905483,NA,2,2015-01-01,2015,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ships & Submarines,Navy,Medium,1132967.505208739,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,N,NA,2009,FALSE,2009,<=2 Months,<=2 Months,1,100072.34,NA,1,2014-01-01,2014,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,126510.25832678172,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,Army,FRS,Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,Other CB,U,Medium >1B,TRUE,N,Y,NA,2016,FALSE,2016,>7-12 Months,>1-2 Years,3,-4694.6001,NA,3,2016-01-01,2016,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",FRS,Services (Non-R&D),Services (Non-R&D),Ordnance and Missiles,Army,Medium,-5827.433744682752,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2020,NA,Defense,Army,PAMS,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Large,TRUE,N,N,NA,2018,FALSE,2016,>7-12 Months,>2-4 Years,4,-219682.6636,NA,4,2020-01-01,2020,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Large,-254258.677744149,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2010,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,TRUE,N,N,X,2011,FALSE,2011,>7-12 Months,>7-12 Months,6,851601.2189,NA,6,2010-01-01,2010,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,1159176.6364074582,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2004,NA,Defense,DLA,Other,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,N,N,X,2004,FALSE,1900,NA,<=2 Months,1,58631,NA,1,2004-01-01,2004,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,90745.35527209775,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2008,NA,Defense,Army,Clothing & Subsistence,Other Products,NA,NA,NA,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,TRUE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2008-01-01,2008,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Army,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2018,NA,Defense,MDA,Other,Missile Defense,FALSE,NA,FSS,Competition with single offer,One Offer,FFP,J,Small,TRUE,Y,N,NA,2019,FALSE,2017,>7-12 Months,>2-4 Years,1,10846,NA,1,2018-01-01,2018,Full Year,Other DoD,MDA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Missile Defense,MDA,Small,12952.173934144279,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2018,NA,Defense,Army,Ships,Ships & Submarines,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,Y,N,NA,2019,FALSE,2018,>2-7 Months,>2-7 Months,2,0,NA,2,2018-01-01,2018,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ships & Submarines,Army,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Medium <1B,FALSE,N,N,X,2007,FALSE,2003,<=2 Months,>4 years,1,270.38,NA,1,2007-01-01,2007,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,382.8031385745889,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2013,NA,Defense,MDA,Advanced Development,Missile Defense,FALSE,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Medium <1B,TRUE,N,N,Y,2008,FALSE,2007,>2-7 Months,>2-4 Years,1,-43024.56,NA,1,2013-01-01,2013,Full Year,Other DoD,MDA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Missile Defense,MDA,Medium,-55383.402271474384,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2001,NA,Defense,Navy,Electronics & Communications,Aircraft,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium >1B,TRUE,N,N,X,2001,FALSE,NA,NA,<=2 Months,1,27917,NA,1,2001-01-01,2001,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,Navy,Medium,45822.6191754128,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2004,NA,Defense,Air Force,Aircraft,Aircraft,NA,NA,DCA,No Competition (Only One Source Exception),No competition,Incentive,L,Large: Big 5,TRUE,N,N,X,2004,FALSE,NA,NA,>4 years,1,-48068,NA,1,2004-01-01,2004,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Fixed Price Incentive,FP-Incentive,FP-Incentive,Incentive,Incentive,No Government Furnished,Products,Products (All),Products (All),Aircraft,Air Force,Big Five,-74396.61164263263,FP-Incentive,>1 year,FP-Incentive,FP-Incentive,Incentive,NA
2015,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Large: Big 5,TRUE,Y,N,NA,2016,NA,2017,>1-2 Years,<=2 Months,1,6114,NA,1,2015-01-01,2015,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Big Five,7650.020295075922,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
