Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2013,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2012,FALSE,2012,<=2 Months,<=2 Months,8,-101151.66,NA,8,2013-01-01,2013,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-130207.56229017577,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2016,NA,2016,>2-4 Years,>2-4 Years,6,20618.9409,NA,6,2016-01-01,2016,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,25594.408345937576,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Only One Source Exception),No competition,Other CB,U,Large,TRUE,N,N,X,2011,FALSE,2010,>2-7 Months,>1-2 Years,1,0,NA,1,2010-01-01,2010,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Large,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2017,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2018,FALSE,2018,<=2 Months,<=2 Months,2,46905.6992,NA,2,2017-01-01,2017,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,57257.787024439225,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,Other CB,S,Small,TRUE,N,Y,NA,2024,FALSE,2024,>2-4 Years,>2-4 Years,2,0,NA,2,2022-01-01,2022.4,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Small,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2006,NA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,X,2006,FALSE,1900,NA,>2-7 Months,13,475529,NA,13,2006-01-01,2006,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,691786.7358688591,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2024,1,Defense,Army,Launchers & Munitions,Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,TRUE,N,N,NA,2024,FALSE,2023,>2-4 Years,>2-4 Years,1,0,NA,1,2024-01-01,2024.1,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Army,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,T&M/LH/FPLOE,Y,Medium <1B,FALSE,N,N,X,2006,FALSE,1900,NA,>2-4 Years,1,-1388.16,NA,1,2010-01-01,2010,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Medium,-1889.5259939550767,All Other,>1 year,All Other,All Other,Cost or Effort-Based,NA
2005,NA,Defense,Other DoD,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Competition with single offer (Overrode blank Fair Opportunity),One Offer,NA,NO,Large,TRUE,Y,N,X,2005,FALSE,1900,NA,>7-12 Months,11,5378174,NA,11,2005-01-01,2005,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,8078180.14685362,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2021,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,BOA,Competition with single offer,One Offer,FFP,J,Small,TRUE,N,N,NA,2021,NA,2019,>2-7 Months,>2-4 Years,1,22758,NA,1,2021-01-01,2021,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,25463.511090705095,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2005,NA,Defense,DLA,Ground Vehicles,Land Vehicles,NA,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2005,FALSE,1900,NA,>2-7 Months,33,287161,NA,33,2005-01-01,2005,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,DLA,Medium,431324.51444498304,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2024,4,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,N,N,NA,2025,FALSE,2027,>4 years,>2-4 Years,1,1000,NA,1,2024-01-01,2024.4,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,973.9886702599031,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,2,Defense,Army,Construction,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,N,N,X,2021,FALSE,2020,>1-2 Years,>2-4 Years,7,-40515,NA,7,2024-01-01,2024.2,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-39461.15097557997,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2016,NA,Defense,Navy,Other,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,NA,2015,FALSE,2015,>2-7 Months,>2-7 Months,1,454.41,NA,1,2016-01-01,2016,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Navy,Small,564.0617116506452,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Navy,ERS,Facilities and Construction,NA,NA,PO,No Competition (Unlabeled Exception),No competition,FFP,J,Large,TRUE,Y,N,X,2006,FALSE,NA,NA,>4 years,1,12852,NA,1,2006-01-01,2006,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Large,18696.74221632451,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2021,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Medium <1B,TRUE,N,N,NA,2016,TRUE,2016,>7-12 Months,>7-12 Months,1,-1093.66,NA,1,2021-01-01,2021,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Medium,-1223.6762254794155,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,Other DoD,Advanced Development,Missile Defense,FALSE,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Medium >1B,TRUE,N,N,X,2012,FALSE,NA,NA,>4 years,1,-12632.8701,NA,1,2011-01-01,2011,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Missile Defense,Other DoD,Medium,-16857.175930190413,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2020,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2019,NA,2021,>2-4 Years,>2-7 Months,1,60,NA,1,2020-01-01,2020,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,69.44344362296297,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2016,NA,Defense,DISA,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Incentive,V,Large,TRUE,N,N,NA,2017,FALSE,2017,>4 years,>4 years,3,2107813.4375,NA,3,2016-01-01,2016,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Incentive,CB-Incentive,Cost-Based,Incentive,Incentive,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Large,2616440.781225061,Cost-Based,>1 year,Cost-Based,Cost-Based,Incentive,>1 year
2022,1,Defense,Air Force,ERS,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2022,TRUE,2022,>4 years,>4 years,1,-47328.68,NA,1,2022-01-01,2022.1,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,-49493.80594252781,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,3,Defense,Navy,ERS,"Electronics, Comms, & Sensors",NA,NA,BOA,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,N,NA,2022,NA,2018,>7-12 Months,>4 years,1,10000,899523.75,1,2022-01-01,2022.3,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ERS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Big Five,10457.465947186318,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2024,4,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,Y,2025,FALSE,2025,>7-12 Months,>7-12 Months,2,1000,NA,2,2024-01-01,2024.4,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Medium,973.9886702599031,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,1,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,NA,2024,FALSE,2023,<=2 Months,>7-12 Months,1,0,NA,1,2024-01-01,2024.1,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Army,Basic Research (6.1),"Electronics, Comms, & Sensors",NA,NA,DCA,Competition with single offer,One Offer,FFP,J,Large: Big 5 (Small Subsidiary),FALSE,N,N,X,2007,FALSE,2007,>2-7 Months,>2-7 Months,2,69999.35,NA,2,2007-01-01,2007,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Army,Big Five,99104.85567786505,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2001,NA,Defense,Army,MED,Other Services,NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,N,N,X,2003,FALSE,NA,NA,>2-4 Years,1,73986,NA,1,2001-01-01,2001,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Medium,121439.70707139347,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2009,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,X,2010,FALSE,2009,<=2 Months,>2-7 Months,1,7829,NA,1,2009-01-01,2009,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,10748.914964034899,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2021,FALSE,2021,<=2 Months,>2-7 Months,2,-2302,NA,2,2021-01-01,2021,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,-2575.665811178624,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Navy,R&D administrative and operational expenses,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,N,X,2006,FALSE,2006,<=2 Months,<=2 Months,2,13569.1001,NA,2,2006-01-01,2006,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,19739.960058917142,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Navy,Applied Research (6.2),Other R&D and Knowledge Based,NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Medium >1B,TRUE,N,N,X,2004,FALSE,1900,NA,>2-4 Years,1,918428,NA,1,2002-01-01,2002,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Medium,1484147.5508989561,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2019,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Small,TRUE,N,N,X,NA,FALSE,NA,NA,NA,2,0,NA,NA,2019-01-01,2019,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,0,Cost-Based,NA,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2003,NA,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,Other CB,U,Large,TRUE,N,N,X,2003,FALSE,1900,NA,>1-2 Years,2,2600000,NA,2,2003-01-01,2003,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Large,4122379.5272041336,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2010,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Large,TRUE,Y,N,X,2010,FALSE,2010,<=2 Months,<=2 Months,1,13572.7002,NA,1,2010-01-01,2010,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Large,18474.793853777133,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,Other DoD,Applied Research (6.2),Other R&D and Knowledge Based,NA,NA,DCA,Full Competition (Multiple Offers),5-9 Offers,Other CB,U,Large: Big 5,TRUE,N,N,Y,2013,FALSE,2013,>2-7 Months,>2-7 Months,1,0,NA,1,2016-01-01,2016,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Other DoD,Big Five,0,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Large,TRUE,N,N,X,2010,FALSE,2010,>7-12 Months,>1-2 Years,1,1746730,NA,1,2009-01-01,2009,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,2398192.902685998,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2007,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,N,N,X,2008,FALSE,2008,>2-7 Months,>2-7 Months,26,6732121,NA,26,2007-01-01,2007,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,9531315.363798728,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Air Force,ERS,Facilities and Construction,FALSE,NA,PO,No Competition (Only One Source Exception),No competition,NA,NO,Medium <1B,TRUE,Y,N,X,2006,FALSE,2009,>2-4 Years,>2-7 Months,1,-1623,NA,1,2009-01-01,2009,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Not Reported,NA,NA,Crosscutting,Crosscutting,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,-2228.316386081063,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2009,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,FALSE,N,N,X,2009,FALSE,2013,>2-4 Years,<=2 Months,2,18735.9707,NA,2,2009-01-01,2009,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Medium,25723.764953755195,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2018,NA,Defense,Navy,ERS,Other Services,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2018,FALSE,2022,>4 years,>7-12 Months,1,-21300,NA,1,2018-01-01,2018,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Small,-25436.22577883765,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2003,NA,Defense,Army,Other,Facilities and Construction,NA,NA,GWAC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,FFP,J,Large: Big 5,FALSE,Y,N,X,2003,FALSE,1900,NA,<=2 Months,2,53855,NA,2,2003-01-01,2003,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Big Five,85388.74978368408,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2015,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Large,TRUE,N,N,NA,2016,FALSE,2018,>2-4 Years,>1-2 Years,7,8168153.52,NA,7,2015-01-01,2015,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,10220238.829129184,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2017,NA,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Large,TRUE,N,N,Y,2018,FALSE,2019,>2-4 Years,>1-2 Years,4,279675,NA,4,2017-01-01,2017,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Large,341399.27256558277,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
