Description_of_Requirement,descrip_row_number,Remotely_Crewed,UAS,CUAS,Maritime,mq,rq,any_uas
"OTA / REAL TIME, INTELLIGENT TRAVELER WAYFINDING FOR THE FIS&AVIATION ENVIRONMENT",8630,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE PHASE 2 SOW REQUIREMENTS.,8631,,,,,,,
DEVELOPMENT OF THEATER ANTI-SUBMARINE WARFARE (ASW) CAPABILITY FOR THE THEATER UNDERSEA WARFARE OPERATION CENTERS (TUSWOC).,8632,,,,,,,
BLACKJACK PROGRAM,8633,,,,,,,
DEVELOP FABRICATED HELMET PAD SYSTEMS PROTOTYPE,8634,,,,,,,
DEVELOP FABRICATED HELMET PADS,8635,,,,,,,
COMPETENCY BASED CAREER DEVELOPMENT PROJECT.,8636,,,,,,,
ADMINISTRATIVE REVISION TO SOW,8637,,,,,,,
TRL 5 SUBMISSION,8638,,,,,,,
REAL-TIME METROLOGY AND FEEDBACK CONTROL FOR ADDITIVE MANUFACTURING,8639,,,,,,,
"CONCERNING PHOENIX TECHNOLOGIES, THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE MILESTONE DELIVERY SCHEDULE TO REVISE PHASE 2 (CLIN 0002)
MILESTONE NOS. 8&11 AND ADD NEW PHASE 2.",8640,,,,,,,
CONCERNING PHOENIX TECHNOLOGIES,8641,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE POP AT NO COST THROUGH 04/30/2020.,8642,,,,,,,
"IGF::OT::IGF EXTEND POP TO OTA WITH SRI INTERNATIONAL IN SUPPORT OF
DIU AOI HARDWARE TO SOFTWARE TRANSFORMATION.",8643,,,,,,,
IGF::OT::IGF SIX MONTH PERIOD OF PERFORMANCE EXTENSION TO COMPLETE PROTOTYPE PROJECT,8644,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE AND EXERCISE REVISED REVISED OPTION 4.2.B (TASK 2).,8645,,,,,,,
PROTOTYPE DEVELOPMENT,8646,,,,,,,
ACCELERATE THE DEVELOPMENT OF THEATER ANTI-SUBMARINE WARFARE (ASW) CAPABILITY FOR THE THEATER UNDERSEA WARFARE OPERATION CENTERS (TUSWOC),8647,,,,,,,
OTA / ADAPTIVELY INTELLIGENT BACKPACKABLE SUAS FOR FIELD OPERATIONS,8648,UAS,TRUE,,,,,TRUE
SECURITY FOR THE INTERNET OF THINGS,8649,,,,,,,
COMBINING MEASUREMENT AND FORECASTING TECHNOLOGIES FOR OPTIMIZATION OF FIS AREAS FOR ALL STAKEHOLDERS,8650,,,,,,,
ALL UP ROUND TORPEDO DEVELOPMENT FOR THE MK54 MOD TORPEDO,8651,,,,,,,
PROTOTYPE DELIVERY OF A LOW POWER SENSOR NETWORK.,8652,,,,,,,
USW COMBAT SYSTEMS ADVANCED CONCEPT PROTOTYPE,8653,,,,,,,
OPTION EXERCISE,8654,,,,,,,
IDF::OT::IGF   AWARD OF DIU PROTOTYPE PROJECT TO AIRMAP UNDER GROUP 1 UNMANNED ARCHITECTURE,8655,UAS,TRUE,,,,,TRUE
"IDF::OT::IGF AWARD OF DIU PROTOTYPE PROJECT TO AIRMAP UNDER
GROUP 1 UNMANNED ARCHITECTURE",8656,UAS,TRUE,,,,,TRUE
IG::OT::IG EXTEND POP BY TWO MONTHS.,8657,,,,,,,
"ADDITIONAL PROTOTYPE DEVELOPMENT, MOBILE COLD SPRAY.",8658,,,,,,,
CORRECT CLIN 0004 LOA,8659,,,,,,,
MILESTONE 1 PROJECT KICKOFF,8660,,,,,,,
ADD AND FUND MILESTONES 10 AND 11,8661,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING FOR MILESTONE 19 AND 20.,8662,,,,,,,
AWARD TO SPOTLIGHT LABS UNDER DIU AOI PHYSIOLOGICAL MONITORNING,8663,,,,,,,
MODIFICATION TO CORRECT CDR FOR FUNDING ISSUE,8664,,,,,,,
INCREMENTAL FUNDING FOR DIU AOI PHYSIOLOGICAL MONITORING,8665,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND PILOT SITE 1 PHASE 3.,8666,,,,,,,
"IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND MILESTONES 82, 83, 106, 107, 125 AND 126.",8667,,,,,,,
OTA / AUTONOMOUS SUAS FOR DEPLOYED TRUCK-BASED MOBILE USERS,8668,UAS,TRUE,,,,,TRUE
PROTOTYPE PORTABLE DATA ACQUISITION UNIT,8669,,,,,,,
"THE PURPOSE OF THIS BASE OTHER TRANSACTION IS TO AWARD A
PROTOTYPE PROJECT FOR DEEP LEARNING FOR CONTINUOUS MOBILE
BEHAVIOR-BASED AUTHENTICATION.",8670,,,,,,,
"THE PURPOSE OF THIS ADMINISTRATIVE MODIFICATION IS TO UPDATE THE
INVOICING INSTRUCTION AND UPDATE THE CONTRACTOR ADDRESS.",8671,,,,,,,
"THE PURPOSES OF THIS MODIFICATION ARE TO:
- EXERCISE OPTION I
- ADD INCREMENTAL FUNDING IN THE AMOUNT OF $2,000,000.00
- REPLACE ATTACHMENTS 2&3 WITH REVISED VERSIONS
- EDIT LANGUAGE IN ARTICLES II, VI, IX, AND X",8672,,,,,,,
"THE PURPOSE OF THIS ACTION IS TO ADMINISTRATIVELY UPDATE THE PAY
OFFICE OF BLOCK 12 TO REFLECT HQ0490.",8673,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND OPTION I IN THE AMOUNT OF $4,000,000.00.",8674,,,,,,,
"IGF::OT::IGF BASE AWARD FOR THE LOCKHEED MARTIN, BALL AEROSPACE, RT LOGIC REDUCED LATENCY SPACE DATA DIU STANDALONE COMPETITIVE OTA.",8675,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO FULLY FUND THE REMAINING PREVIOUSLY NEGOTIATED MILESTONES. THIS MOD ALSO CORRECTS AN ERROR ON THE BASE AWARD THAT CASED THE TOTAL CONTRACT VALUE TO BE $4 HIGHER THAN IT SHOULD HAVE BEEN.,8676,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO EXTEND DELIVERY DATE FOR THE DESIGN REVIEW DOCUMENT, AND THE DATE FOR THE DESIGN REVIEW EVENT.",8677,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO ADJUST MILESTONE DUE DATES AT NO ADDITIONAL COST TO THE GOVERNMENT.,8678,,,,,,,
A PROTOTYPE SUB-THRESHOLD ARM CORTEX-M0 MICROCONTROLLER FOR NEAR-ZERO POWER SENSORS (M0N0).  THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TERM OF THE AGREEMENT FOR REASONS INCLUDING COVID-19.,8679,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE SOW, AND EXTEND THE POP END DATE TO 31-MAY 2020.",8680,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE PHASE V WORK.,8681,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO CREATE A NEW MILESTONE 6 AND RE-ALLOCATE FUNDS TO DIFFERENT MILESTONES. THERE IS NO NET CHANGE IN AGREEMENT VALUE.,8682,,,,,,,
SECURE UNMANNED AERIAL SYSTEMS FLIGHT CONTROLLER (SUEC),8683,UAS,TRUE,,,,,TRUE
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTIONS ON MILESTONES 13.1 AND 14.1.,8684,,,,,,,
"SVIP OTA / REAL TIME, INTELLIGENT TRAVELER WAYFINDING FOR THE FIS&AVIATION ENVIRONMENT",8685,,,,,,,
IG::OT::IG UPDATE TO SOW TO INCORPORATE PHASE 5 REFINEMENTS.,8686,,,,,,,
IGF::OT::IGF FUND OPTION 1,8687,,,,,,,
IGF::OT::IGF DE-OBLIGATE FUNDS CLIN 0018,8688,,,,,,,
SMART AERIAL MONITORING SYSTEM (SAMS) - AFWERX SBIR II,8689,,,,,,,
CYBER APEX PROJECT AGREEMENT #7- EMAIL SECURITY,8690,,,,,,,
PERSISTENT ACOUSTIC DETECTION THROUGH REEF ECOLOGICAL SOUNDSCAPES (PADRES)PROTOTYPE,8691,,,,,,,
QED IOT SECURE TRUST ANCHOR (SVIP OTA),8692,,,,,,,
TOOLS FOR SHARING AND ANALYZING NEUROSCIENCE DATA,8693,,,,,,,
"TOOLS FOR SHARING AND ANALYZING NEUROSCIENCE DATA, THE PURPOSE OF THIS ADMINISTRATIVE MODIFICATION IS TO CORRECT THE FUNDING VALUE OF MILESTONE 10.",8694,,,,,,,
"FORM, FIT, FUNCTION, INTERFACE REDESIGN OF A-10 CENTRAL INTERFACE CONTROL UNIT CIRCUIT CARD ASSEMBLY.",8695,,,,,,,
"THIS MODIFICATION ADDS GFP TO THE AGREEMENT FOR A FORM, FIT, FUNCTION, INTERFACE REDESIGN OF THE A-10 CENTRAL INTERFACE CONTROL UNIT CIRCUIT CARD ASSEMBLY.",8696,,,,,,,
"THIS MODIFICATION ADDS ADDITIONAL GFP TO THE AGREEMENT FOR A FORM, FIT, FUNCTION, INTERFACE REDESIGN OF THE A-10 CENTRAL INTERFACE CONTROL UNIT CIRCUIT CARD ASSEMBLY.",8697,,,,,,,
TACTICAL BOOST GLIDE,8698,,,,,,,
PA #8- COLLABORATIVE DEFENSE,8699,,,,,,,
PROTOTYPE PROTECTIVE EYEWEAR.,8700,,,,,,,
"COVID-19 DIB DOD 20.R SBIR CSO, TOPIC #AF20R-DCSO1 RESEARCH AND DEVELOPMENT OF PROTOTYPE ""TALYN"" A STAGED, BATTERY EVTOL VEHICLE SYSTEM THAT DECOUPLES VERTICAL FROM HORIZONTAL PHASES OF FLIGHT.",8701,,,,,,,
PRIVORO PLATFORM FOR MOBILE HARDWARE SECURITY - AFWERX SBIR II,8702,,,,,,,
RESEARCH AND DEVELOPMENT,8703,,,,,,,
IGF::OT::IGF INCORPORATE ADDITIONAL SOW WORK.,8704,,,,,,,
"IGF::OT::IGF
INCORPORATE ADDITIONAL WORK WITHIN SCOPE FOR DOLFIT, TO BE PERFORMED IN AUSTRALIA.",8705,,,,,,,
PROTOTYPE HEADS UP DISPLAY,8706,,,,,,,
PHASE 2: BETA PROTOTYPE DELIVERY,8707,,,,,,,
PROTOTYPE X-CARGO SYSTEM,8708,,,,,,,
10 USC 2373 PROCUREMENT OF APOLLO CONSTELLATION ENGINE THRUSTER,8709,,,,,,,
IGF::OT::IGF 10 USC 2373 PROCUREMENT OF APOLLO CONSTELLATION ENGINE THRUSTER.,8710,,,,,,,
IGF::OT::IGF PAYMENT 1 FUNDING,8711,,,,,,,
CONTAINERIZED KITCHEN PROTOTYPE,8712,,,,,,,
"IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND PEBBLE MILESTONES, AND TO EXTEND POP DELIVERY DATE TO ACCOUNT FOR DELAY IN RECEIPT OF FUNDS.",8713,,,,,,,
ADDITIONAL TESTING.,8714,,,,,,,
NO COST EXTENSION FOR CLIN 0002,8715,,,,,,,
SVIP OTA - RIDIVALT - REMOTE ID VERIFICATION FOR ACCELERATED LAND BORDER TRANSIT,8716,,,,,,,
INCORPORATING GFE.,8717,,,,,,,
CORRECT WAWF CLAUSE,8718,,,,,,,
NO COST EXTENSION TO 30 JUN 2020,8719,,,,,,,
ADDITIONAL PROTOTYPE FOR TESTING.,8720,,,,,,,
IG::OT::IG THE PURPOSE OF THIS MODIFICATION IS TO TERMINATE THE CONTRACT AFTER A FAILURE OF MILESTONE 7.,8721,,,,,,,
"CONCERNING ""LIVING PAINT"", PERIOD OF PERFORMANCE EXTENSION DUE TO COVID-19.",8722,,,,,,,
"NO COST EXTENSION TO CLINS 0001, 0007, 0008.",8723,,,,,,,
AWARD OF SHORT RANGE RECON PROJECT IN SUPPORT OF DIU AND PEO AVIATION.,8724,,,,,,,
THE PURPOSE OF THIS ACTION IS TO AWARD A SHORT RANGE RECON PROJECT IN SUPPORT OF DIU AND PEO AVIATION.,8725,,,,,,,
AWARD OF SHORT RANGE RECON PROTOTYPE PROJECT IN SUPPORT OF DIU AND PEO AVIATION.,8726,,,,,,,
ADMINISTRATIVE MODIFICATION TO CHANGE FUNDING.,8727,,,,,,,
"UPDATE THE MILESTONE SCHEDULE AND INCREMENTALLY FUND MILESTONE 11 IN THE AMOUNT OF $292,589, MILESTONE 12 IN THE AMOUNT OF $81,552 AND MILESTONE 13 IN THE AMOUNT OF $81,552.",8728,,,,,,,
ADJUST THE MILESTONE SCHEDULE AND INCREMENTALLY FUND MILESTONE 11,8729,,,,,,,
"ADJUST THE MILESTONE SCHEDULE AND INCREMENTALLY FUND MILESTONES 8 AND 9 IN THE AMOUNT OF $739,750.",8730,,,,,,,
EXTENSION OF CLIN 0003 AND 0004 TO 15 JULY 2020 AT NO ADDITIONAL COST.,8731,,,,,,,
SHORT RANGE RECON PROTOTYPE,8732,,,,,,,
ADJUST THE MILESTONE SCHEDULE AND INCREMENTALLY FUND MILESTONE 14,8733,,,,,,,
"""COVID-19"" OTAP DEVELOPMENT OF A DESIGN, PROCESS AND COST MODEL FOR CBRNE MEDICAL COUNTERMEASURE (MCM) PRODUCTION
INCLUDING SMALL MOLECULE, BIOLOGICS, AND MEDICAL DEVICES/SUPPLIES",8734,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS AGREEMENT IS TO INCORPORATE PHASE V UNDER THE UNDERWATER SUBLAUNCHED UAS FOR MILITARY UTILITY.,8735,UAS,TRUE,,,,,TRUE
PROTOTYPE AUTONOMOUS TENT,8736,,,,,,,
SERVICES IAW OT FOR PROTOTYPE AGREEMENT:  POP EXTEND&REVISE MILESTONE PAYMENTS,8737,,,,,,,
"AUTOMATING SCIENTIFIC KNOWLEDGE EXTRACTION (ASKE), THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE AT NO ADDITIONAL COST TO THE GOVERNMENT DUE TO COVID-19.",8738,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO ADD THREE USE CASES FOR FURTHER USG OPERATIONAL EVALUATION.,8739,,,,,,,
PROPULSION  SYSTEM DEVELOPMENT FOR LIGHTWEIGHT TORPEDO,8740,,,,,,,
"MATERIALS RESEARCH: POSITION, NAVIGATION, AND TIMING",8741,,,,,,,
MODIFICATION AND TESTING PHASE·····,8742,,,,,,,
CYBER ASSURED SYSTEMS ENGINEERING (CASE) TA2/TA5.,8743,,,,,,,
CYBER ASSURED SYSTEMS ENGINEERING (CASE),8744,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO REVISE THE SOW TO REMOVE THE 'TRANSMIT' REQUIREMENT, AND EXTEND DELIVERY DATES.",8745,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO ADD LANGUAGE TO TRANSFER LIABILITY AND PROPERTY OF SOFTWARE/HARDWARE TO THE CONTRACTOR.,8746,,,,,,,
"THIS ACTION IS ISSUED AS PART OF THE ACCELERATED DELIVERY AND
ACQUISITION OF PROTOTYPE TECHNOLOGIES TO INVESTIGATE FUNCTIONING
PROTOTYPE THAT WILL REDUCE AIRBORNE SOUND.",8747,,,,,,,
COOLING SHIRTS FOR WORKERS IN HOT ENVIRONMENTS,8748,,,,,,,
THERMOELECTRIC WELDING SUIT,8749,,,,,,,
COOL SUITS,8750,,,,,,,
COMPACT FUEL CELL SYSTEM,8751,,,,,,,
FLOW CONDITIONING FOR IMPROVED PIPING ARRANGEMENT ROUND II,8752,,,,,,,
DE-CORRELATOR FOR PIPE FLOW SYMMETRY ROUND II,8753,,,,,,,
ENGINEERED INTEGRAL AND DOWNSTREAM FLOW CONDITIONERS ROUND II,8754,,,,,,,
ENGINEERED INTEGRAL AND DOWNSTREAM FLOW CONDITIONERS,8755,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE POP BY THREE MONTHS AND INCORPORATE IATT REQUIREMENTS AT SAFB.,8756,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS ACTION IS TO AWARD AN OTHER TRANSACTION AGREEMENT (OTA), W15QKN-18-9-2001, BETWEEN
THE ARMY CONTRACTING COMMAND-NEW JERSEY AND STRATEGY ROBOT, INC. IN SUPPORT OF THE DEFENSE INNOVATION UNIT
(DIU).",8757,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE CLARIFICATION TO THE DIU STRATEGY ROBOT SOW.  THE VALUE AND PERIOD OF PERFORMANCE REMAIN UNCHANGED.",8758,,,,,,,
RESEARCH IAW OT FOR PROTOTYPE AGREEMENT,8759,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE PHASE V SOW REQUIREMENTS FOR SBES AND MBES.,8760,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION 4.2.C: DATA DELIVERY - REAL-TIME STATE VECTORS (WITH COVARIANCES) AND RADAR MEASUREMENTS.,8761,,,,,,,
PROTOTYPE DRONE DEVELOPMENT,8762,,,,,,,
LOA CORRECTION,8763,,,,,,,
LOA CORRECTION.,8764,,,,,,,
CORRECT PAY OFFICE.,8765,,,,,,,
"IGF::OT::IGF THIS MODIFICATION INCORPORATES AN UPDATED MILESTONE 6. THIS MOD INCREMENTALLY FUNDS MILESTONE 6 FOR $210,000. THE TOTAL AMOUNT OF INCREASE FOR THE CONTRACT IS $250,000.",8766,,,,,,,
WARHEAD SECTION DEVELOPMENT FOR THE MK 54 MOD 2 TORPEDO,8767,,,,,,,
NO COST EXTENSION FOR CLINS 0001-0013.,8768,,,,,,,
INCORPORATE ADDITIONAL PROTOTYPE DEVELOPMENT.,8769,,,,,,,
IGF::OT::IGF     THIS MODIFICATION IS TO INCORPORATE AN ADDITIONAL $300K TO MARITIME DOMAIN AWARENESS REQUIREMENTS INTO THE STATEMENT OF WORK.,8770,,,,,,,
NO COST EXTENSION DUE TO DELAYS FROM COVID-19,8771,,,,,,,
ADDITIONAL COST RELATED TO RATE CHANGE AND COVID-19 DELAYS,8772,,,,,,,
PROTOTYPE DRONE DEVELOPMNENT,8773,,,,,,,
PROTOTYPE USAS DEVELOPMENT.,8774,,,,,,,
THIS MODIFICATION DE-SCOPES THE WORK TO BE PERFORMED UNDER THIS PROTOTYPE PROJECT.,8775,,,,,,,
FUNDING ACTION TO REALIGN FUNDS BY DEOBLIGATING THEN REOBLIGATING UNDER A SEPARATE MODIFICATION.,8776,,,,,,,
7.62MM LIGHTWEIGHT POLYMER CASE AMMO,8777,,,,,,,
CHANGE PAY OFFICE,8778,,,,,,,
AUTONOMOUS ROTARY WING HOIST RESCUE LOAD STABILITY SYSTEM - AFWERX SBIR II,8779,,,,,,,
AWARD IN SUPPORT OF DEFENSE INNOVATION UNIT AREA OF INTEREST CASINO PED.,8780,,,,,,,
"AWARD IN SUPPORT OF DEFENSE INNOVATION UNIT AREA OF INTEREST
CASINO PED.",8781,,,,,,,
"STRUCTURAL, POWER AND DATA PORT (SPDP)",8782,,,,,,,
"STRUCTURAL, POWER AND DATA PORT (SPDP), THE PURPOSE OF THIS MODIFICATION IS TO FUND MILESTONE 2.",8783,,,,,,,
"STRUCTURAL, POWER AND DATA PORT (SPDP), THE PURPOSE OF THIS OF THIS MODIFICATION IS TO MILESTONE 3.",8784,,,,,,,
"STRUCTURAL, POWER AND DATA PORT (SPDP), THE PURPOSE OF THIS MODIFICATION IS TO REVISE THE DARPA AND SNC PROGRAM MANAGERS.",8785,,,,,,,
"STRUCTURAL, POWER AND DATA PORT (SPDP), THE PURPOSE OF THIS MODIFICATION IS TO FUND MILESTONE 4.",8786,,,,,,,
"STRUCTURAL, POWER AND DATA PORT (SPDP), THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE ATTACHMENTS 9 AND 10 INTO THE AGREEMENT. INCORPORATE 
ATTACHMENT 9 GR-IC-0205 REV. B STRUCTURE POWER AND DATA PORT ICD INTO THE AGREEMENT AND INCORPORATE ATTACHMENT 10 - NCST-S-GR005 REV. D PORT SPECIFICATION INTO THE AGREEMENT.",8787,,,,,,,
INCREMENTAL FUNDING AND ADDITIONAL MATERIALS FOR PHASE 1.,8788,,,,,,,
PROTOTYPE FILTERS,8789,,,,,,,
FUNDING MODIFICATION.,8790,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO REVISE PHASE 3 REQUIREMENTS.,8791,,,,,,,
THE PURPOSE OF THIS MODIFICATION TO INSERT REVISED LANGUAGE SPECIFYING THE CORRECT PAYING OFFICE.,8792,,,,,,,
3D VISUALIZATION RESTFUL PROTOTYPE,8793,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE A SCHEDULE EXTENSION.,8794,,,,,,,
"IGF::OT:::IGF AWARD OF DPA3 COVID-19 DIB FUNDED PROJECT IN
SUPPORT OF DIU AOI CLEAN SWEEP WITH EXTREME MICROBIAL TECHNOLOGIES, LLC.",8795,,,,,,,
INNOVATIVE CONCEPTS THAT BENEFIT THE WARFIGHTER BY LEVERAGING DEEP LEARNING APPROACHES.,8796,,,,,,,
MARITIME OBJECT LABELING USING NEURAL NETWORKS FOR IMAGING RADARS (MOLNNIR),8797,,,,,,,
MARITIME ISAR ATR VIA DEEP LEARNING,8798,,,,,,,
"MARITIME OBJECT LABELING USING NEURAL NETWORKS FOR IMAGING RADARS
(MOLNNIR)",8799,,,,,,,
FIELD DEPLOYABLE ALERT NOTIFICATION SYSTEM (FDANS),8800,,,,,,,
MOD TO CORRECT THE POP (SHORTEN) IN THE SF26 TO MATCH THE ACTUAL AGREEMENT NO ACTUAL CHANGE TO AGREED TERMS. SBIR PH II MAN-PORTABLE TACTICAL LTE COMMUNICATION NETWORK PROTOTYPE SYSTEM.,8801,,,,,,,
DIAMOND COATING PROTOTYPE,8802,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS OTA IS TO DEMONSTRATE THE PROTEUS PROTOTYPE.,8803,,,,,,,
IGF::OT::IGF   THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE 32-BIT EXECUTABLES INTO THE SOW REQUIREMENTS.,8804,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS OTA IS TO DEMONSTRATE THE PROTEUS PROTOTYPE.,8805,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE 32-BIT EXECUTABLES INTO THE SOW REQUIREMENTS.,8806,,,,,,,
IGF::OT::IGF EXERCISE OPTION 1 AND ADD MILESTONE 13,8807,,,,,,,
":  DESIGN, DEVELOP, FABRICATE, TEST, INSTALL, DOCUMENT AND DELIVER RAPID PROTOTYPE MATERIAL SOLUTIONS ASSOCIATED WITH THE PRODUCTS, SYSTEMS, SUBSYSTEMS, ANCILLARY AND PECULIAR SUPPORT EQUIPMENT",8808,,,,,,,
"INNOVATIVE CONCEPTS THAT BENEFIT THE WARFIGHTER BY LEVERAGING DEEP
LEARNING APPROACHES.",8809,,,,,,,
"ENGINEERED INTEGRAL AND DOWNSTREAM FLOW CONDITIONERS, NO COST EXTENSION",8810,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 24 SEPTEMBER 2020.,8811,,,,,,,
"ADDITIONAL PROTOTYPE DEVELOPMENT, FLAME RETARDANT MATERIAL.",8812,,,,,,,
HIGH POWER COMPACT FUEL CELL SYSTEM,8813,,,,,,,
SVIP OTA / ADAPTIVELY INTELLIGENT BACKPACKABLE SUAS FOR FIELD OPERATIONS,8814,UAS,TRUE,,,,,TRUE
ADDITIONAL STORAGE OF PROTOTYPES,8815,,,,,,,
"IG::OT::IG INCREMENTAL FUNDING IN THE AMOUNT OF $40,000 TO CLIN 0008AB.",8816,,,,,,,
"SVIP OTA - SECURE UNMANNED AERIAL SYSTEMS FLIGHT CONTROLLER, PHASE 4",8817,UAS,TRUE,,,,,TRUE
OTA - AUTONOMOUS SUAS FOR DEPLOYED TRUCK-BASED MOBILE USERS / PHASE 4,8818,UAS,TRUE,,,,,TRUE
IGF::OT::IGF INCORPORATE TASK 5.4&5.5 FOR PHASE V WORK,8819,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO AWARD A WITHIN SCOPE MODIFICATION AND UPDATE PRICING FOR THE QNTY OF 25 PROTOTYPE DELIVERABLES.",8820,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE STATEMENT OF WORK AND ADD AN ADDITIONAL 8 MILESTONES. MILESTONES 17 THROUGH 24.",8821,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE STATEMENT OF WORK AND ADD AN ADDITIONAL 3 MILESTONES. MILESTONES 15 THROUGH 17.",8822,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE STATEMENT OF WORK AND ADD AN ADDITIONAL 6 MILESTONES. MILESTONES 18 THROUGH 23.",8823,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE STATEMENT OF WORK AND ADD AN ADDITIONAL 5 MILESTONES. MILESTONES 16 THROUGH 20.",8824,,,,,,,
EXTENDED RANGE NON-TRADITIONAL SENSOR SYSTEM (ER NTSS),8825,,,,,,,
AXB COMBAT SYSTEM DISPLAYS AND CONTROLS,8826,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MOD IS TO INCORPORATE MODIFICATIONS TO THE SOW FOR M88 SUPPORT IN THE AMOUNT OF $280,000, INCREASING TOTAL VALUE OF THIS TRANSACTION TO $2,280,000.  THIS MODIFICATION ALSO EXTENDS THE POP FOR PLATFORM 2 FOR A PERIOD OF FOUR(4) ADDITIONAL MONTHS.",8827,,,,,,,
ADDITIONAL PROTOTYPE DEVELOPMENT.,8828,,,,,,,
CORRECT CLIN 0004 QUANTITY.,8829,,,,,,,
"MS 5: FULL PATH DEMO AND TESTING
OTHER TRANSACTION AGREEMENT (OTA) AWARDED FOR A PROTOTYPE
PROJECT IN THE COMMERCIAL SOLUTIONS OPENING (CSO) AREA OF
INTEREST (AOI) CASINO PROCESSING EVALUATION AND DISSEMINATION",8830,,,,,,,
DAYLONG INTEGRATION LEVEL OF A PORTABLE IODINE CLOCK WITH LENGTH ENHANCED SPECTROMETER (DILL PICKLES),8831,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE REVISIONS TO THE TERMS AND CONDITIONS OF THE AGREEMENT.,8832,,,,,,,
PROTOTYPE PROJECT UNDER THE DEFENSE INNOVATION UNIT (DIU) CYBERSPACE DECEPTION,8833,,,,,,,
TORPEDO LAUNCHER PROTOTYPE,8834,,,,,,,
DEVELOPMENT OF KEDS PROTOTYPE.,8835,,,,,,,
DEVELOPMENT OF ADVANCED SWIM FINS FOR OPTIMAL DIVER PERFORMANCE IN MISSION ENVIRONMENTS.,8836,,,,,,,
ACOMMS SYSTEMS DEVELOPMENT,8837,,,,,,,
IGF::OT::IGF   GROUP 1 UNMANNED VEHICLE ARCHITECTURE FUNDING MILESTONES #33 AND #37.,8838,UAS,TRUE,,,,,TRUE
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO EXTEND MILESTONES 33 AND 37 TO 28 MAC.,8839,,,,,,,
GAMIFYING THE SEARCH FOR STRATEGIC SURPRISE (GS3) PROGRAM,8840,,,,,,,
