Description_of_Requirement,second,descrip_row_number
IGF::OT::IGF   THE PURPOSE OF THIS MODIFICATION IS TO AUTHORIZE MICROSOFT TO PLACE ORDERS IAW MILESTONE 8 AND TO INCORPORATE ASSOCIATED END USER LICENSE AGREEMENTS INTO SECTION J.,Second,9706
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE END USER LICENSE AGREEMENTS BY REFERENCE THROUGH SECTION J,Second,9707
GLIDE PHASE INTERCEPTOR PHASE 0 ACCELERATION ALIN,Second,9708
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND ALIN 0001 (SLIN 000102) IN THE AMOUNT OF $5,113,959.99.",Second,9709
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND ALIN 0001 (SLIN 000102) IN THE AMOUNT OF $7,035,165.14.",Second,9710
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND ALIN 0001 (SLIN 000102) IN THE AMOUNT OF $5,122,164.63.",Second,9711
IGF::O::IGF ARMY PROGNOSTICS & PREDICTIVE MAINTENANCE PROTOTYPE PROJECT PALANTIR,Second,9712
IGF::OT::IGF ARMY PROGNOSTICS & PREDICTIVE MAINTENANCE PROTOTYPE PROJECT.,Second,9713
IGF::OT::IGF ARMY PROGNOSTICS & PREDICTIVE MAINTENANCE PROTOTYPE PROJECT WITH SYSTECON/WPI.,Second,9714
IGF::OT::IGF ARMY PROGNOSTICS & PREDICTIVE MAINTENANCE PROTOTYPE PROJECT GUIDEHOUSE,Second,9715
"MODIFICATION FULLY FUNDS LABOR, TRAVEL, METHODOLOGY ASSESMENT FOR PROJECT AGREEMENT TW-21-0001(P2)",Second,9716
"ME2021-0105, PROPOSAL ENTITLED PROTOTYPE PARTICLE-ACCELERATOR MODIFIED ASPHALT BINDER. U438220",Second,9717
REMOVE AND REPLACE THE PROJECT AGREEMENT TW-21-0001 IN ITS ENTIRETY WITH PROJECT AGREEMENT TW-21-0001 (P3 CONFORMED) TO ADD THE MILESTONE PAYMENT SCHEDULE FOR SA1,Second,9718
"SCEC-18-0004, FUNDING MILESTONES 4 AND 5.",Second,9719
"SCEC-18-0004, MOD 2, FUND PERFORMANCE THROUGH MILESTONE 15",Second,9720
"ADD FUNDING IN THE AMOUNT OF $458,233.57 TO FUND PERFORMANCE MILESTONES 16 AND 17.",Second,9721
THE PURPOSE OF MODIFICATION P00004 IS TO ADD GOVERNMENT FURNISHED PROPERTY (GFP).,Second,9722
FUND PERFORMANCE FOR MILESTONE 18 ALONG WITH SOSSEC FEE.,Second,9723
"FUND PERFORMANCE FOR MILESTONES 19, 20, AND 21 ALONG WITH SOSSEC FEE.",Second,9724
GFP TRANSFER - 3EA BOLOMETER DIES,Second,9725
"INCREMENTAL FUNDING FOR MILESTONES 22, 23, 24, AND 25.",Second,9726
"THIS MODIFICATION EXTENDS THE PERIOD OF PERFORMANCE FROM 31 MARCH 2021 TO 30 SEPTEMBER 2022, PROVIDES INCREMENTAL FUNDING, INCREASES THE CEILING, AND IMPLEMENTS GUIDANCE FROM SECTION 889(A)(1)(B.",Second,9727
INCREMENTAL FUNDING FOR MILESTONES 26-27 AND SOSEC MGT FEE,Second,9728
DISTRIBUTED OCEAN DATA AS A SERVICE,Second,9729
R&D - OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),Second,9730
"SCEC-18-0004, INCREMENTAL FUNDING",Second,9731
FUNDING FOR MILESTONE 32.,Second,9732
IGF::OT::IGF EXTEND THE PERIOD OF PERFORMANCE AT NO COST TO THE GOVERNMENT.,Second,9733
OPTION #2 FUNDING,Second,9734
JATF SUPPORT,Second,9735
S&T FUTURES RCA EVENT,Second,9736
"DEMONSTRATION ROCKET FOR AGILE CISLUNAR OPERATIONS (DRACO)
TRACK B 

OPERATIONAL SYSTEM (OS) AND DEMONSTRATION SYSTEM (DS) CONCEPT DESIGN
PHASE 1",Second,9737
COMMAND DECISION-MAKING SOFTWARE PROTOTYPING,Second,9738
DEMONSTRATION ROCKET FOR AGILE CISLUNAR OPERATIONS (DRACO) TRACK B  OPERATIONAL SYSTEM (OS) AND DEMONSTRATION SYSTEM (DS) CONCEPT DESIGN PHASE 1,Second,9739
PROTOTYPE ATLAS HEADFORM AND TORSO,Second,9740
MODIFICATION FOR ADMINISTRATIVE CHANGES.,Second,9741
PIEZOELECTRIC MEMS PROCESS DESIGN KIT FOR CONFIGURABLE XBAW TECHNOLOGY,Second,9742
ADVANCED METAL DEPOSITION TECHNOLOGY,Second,9743
"DESIGN, DEVELOPMENT AND PROTOTYPE OF TACTICAL DATACENTER
ARCHITECTURE",Second,9744
ASSESS THEWAVE AND WIND ENVIRONMENT LOCAL TO AN UNMANNED SURFACE VESSEL (USV) PLATFORM,Second,9745
COVID-19 DIB RESEARCH AND DEVELOPMENT OF WARGAMING SOFTWARE FOR USE IS PROFESSIONAL MILITARY EDUCATION.,Second,9746
"FAST BAYESIAN POLYNOMIAL CHAOS FOR ELECTROMAGNETIC MODELING (FBPCEM)
A WAVEFORM AGILE RF DIRECTED ENERGY (WARDEN), TA 2 PROJECT

EO14042",Second,9747
"FAST BAYESIAN POLYNOMIAL CHAOS FOR ELECTROMAGNETIC MODELING (FBPCEM)
A WAVEFORM AGILE RF DIRECTED ENERGY (WARDEN)",Second,9748
IGF::OT::IGF SOLDIER ROBOTIC CONTROLLER AWARD TO VANTAGE ROBOTICS,Second,9749
IGF::OT::IGF SOLDIER ROBOTIC CONTROLLER AWARD TO TEKUMA,Second,9750
IGF::OT::IGF FUND MILESTONES 5-9 AND MOVE DELIVERABLE 4.9.2 IN SOW FROM MILESTONE 2 TO MILESTONE 9.,Second,9751
"SCEC-18-0001, ADD PAYMENT OFFICE, ADD DCMA OFFICE, ATTACH DD254",Second,9752
"""COVID-19""
FORMULATION CHANGES, REDUCTION IN FUNDING, AND COMPLETION DATE EXTENSION",Second,9753
"""COVID-19""
MATERIAL DISTRIBUTION MODIFICATION.",Second,9754
SBIR PHASE II AF182-005,Second,9755
SYNTHETIC DNA-ENCODED MONOCLONAL ANTIBODIES (DMABS) TARGETING COVID-19,Second,9756
"""COVID-19""
NO COST EXTENSION",Second,9757
JAIC 501(C) PARALLEL PATH PROTOTYPE ENVIRONMENT,Second,9758
BASE,Second,9759
DOPPLER CLUTTER MITIGATION (DCM),Second,9760
MS 6 - INTERIM REPORT 1,Second,9761
DARPA RESEARCH PROJECT - GOBLIN PHASE I/II,Second,9762
ASYMMETRIC TECH OTA BASE,Second,9763
DAVID S&T FUTURES WORK,Second,9764
SWR TECHNOLOGY OTA BASE,Second,9765
STANDOFF TARGET REACQUIRE IDENTIFY DETECTON NAVAGITION TOOL STRIDENT,Second,9766
THE PURPOSE OF THIS MODIFICATION IS TO REALIGN FUNDING BETWEEN TASKS.,Second,9767
THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE ADMINISTRATIVE FUNDING REVISIONS.,Second,9768
SBIR PHASE II SOCOM 21.1-D004 INTEGRATED CYBER AND ELECTRONIC WARFARE INFRASTRUCTURE,Second,9769
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND TASK 1 - MILESTONE 8: PROTOTYPE DELIVERY.,Second,9770
FUNDING ACTION ONLY SBIR PHASE II SOCOM 21.1-D004 R&D,Second,9771
TASK 1 - MILESTONE 1: KICK-OFF,Second,9772
SBIR PHASE II SOCOM 21.1-D004 R&D CHANGE INVOICE TYPE,Second,9773
PROTOTYPE OTA FOR THE DEVELOPMENT OF AN IPRD SYSTEM.,Second,9774
CORRECT LOA,Second,9775
ENVIEW OTA,Second,9776
CORRECTION TO SOW,Second,9777
IGF::OT::IGF UPDATE OPTION PHASE V AND INCORPORATE OPTION PHASE VI.,Second,9778
CORRECT PRICE OF THE OPTION ON THE SF26 TO MATCH THE OTA AGREEMENT. SBIR PHASE II SOCOM 192-002 ADVANCED DECOMPRESSION PUMP FOR MANNED SUBMERSIBLES WITH A DIVER-LO,Second,9779
FUNDING ACTION ONLY. SBIR PHASE II SOCOM 192-002 DEPRESSURIZATION PUMP FOR DRY SUBMERSIBLES,Second,9780
HIGHER GROUND OTA,Second,9781
SBIR PHASE II SOCOM 192-002 CORRECT INVOICING INSTRUCTIONS,Second,9782
"ADD WORK, EXTEND THE SAME RESEARCH. SBIR PH II SOCOM191-003",Second,9783
SBIR PHASE II SOCOM 20.2-001 INTEGRATED CYBER AND ELECTRONIC WARFARE SOFTWARE PROTOTYPE,Second,9784
FUNDING ACTION ONLY. SBIR PHASE II SOCOM 21.1-D004,Second,9785
FUNDING AND CORRECT DATE ON DD254 SBIR PHASE II SOCOM 20.2-001,Second,9786
SBIR PHASE II SOCOM 21.1-D004 CHANGE INVOICE TYPE,Second,9787
INCREMENTALLY FUND PROJECT YEAR 2021 JAIC,Second,9788
"MODIFICATION REVISES THE UNIT OF MEASURE FROM ""LOT"" TO ""JOB""",Second,9789
RESONANT LINK BASE OTA,Second,9790
HIGH-DYNAMIC-RANGE LARGE FORMAT DIGITAL PIXEL IMAGERS FOR AVIATION,Second,9791
INCREMENTAL FUNDING FOR MILESTONES 5&6,Second,9792
ADDING SOW AND MILESTONE DELIVERY SCHEDULE,Second,9793
"TRAINING AND EVOLUTION OF MACHINE PILOTS TO ESTABLISH
TRUST (TEMPEST)",Second,9794
IGF::OT::IGF SOLDIER ROBOTIC CONTROLLER TOMAHAWK AWARD,Second,9795
IGF::OT::IGF INCREMENTALLY FUND MILESTONE 9,Second,9796
DEVELOPMENT OF BP SNAPP ALTERNATIVE,Second,9797
"IGF::OT::IGF
AGILE SYSTEMS DEVELOPMENT
RE-CREATION OF ORIGINAL CAR FOR SYSTEM PURPOSES.",Second,9798
"IGF::OT::IGF
AGILE SYSTEMS DEVELOPMENT ADMINISTRATIVE MODIFICATION
RE-CREATION OF ORIGINAL CAR TO CORRECT SYSTEM ISSUE.",Second,9799
IGF::OT::IGF BASE AGREEMENT AWARD TO BLACKSKY IN THE TACGEO AREA OF INTEREST.,Second,9800
IGF::OT::IGF UPDATE STATEMENT OF WORK TO REFINE REQUIREMENTS AT NO ADDITIONAL COST.,Second,9801
IG::OT::IG THIS MODIFICATION IS TO INCORPORATE DD254,Second,9802
IG::OT::IG UPDATE MILESTONE DATES DUE TO COVID RELATED ISSUES.,Second,9803
IG::OT::IG INCREMENTAL FUNDING  FOR LONG LEAD CONTRACTING,Second,9804
HOLOGRAPHIC OPTICAL BEAM STEERING (HOBS) FOR FREE SPACE OPTICAL COMMUNICATIONS (FSOC),Second,9805
MODALAI OTA,Second,9806
OWL AUTONOMOUS IMAGING OTA,Second,9807
COLD SPRAY R&D,Second,9808
"ALPHAPUP: TRUSTED COMBAT AUTONOMY WITH TACTICAL ARTIFICIAL INTELLIGENCE
(AI) UNDER DARPA'S AIR COMBAT EVOLUTION (ACE) TECHNICAL AREA 1",Second,9809
"GOBLIN PHASE I/II

EO14042",Second,9810
VEHICLE PROGNOSTICS SYSTEM EXPERT SMALL BUSINESS INNOVATIVE RESEARCH PHASE II OTHER TRANSACTION AGREEMENT FOR PROTOTYPE,Second,9811
XRMENTOR SMALL BUSINESS INNOVATIVE RESEARCH PHASE II OTHER TRANSACTION AGREEMENT FOR PROTOTYPE,Second,9812
ATLAS PS1 NORTHROP GRUMMAN BASE CLIN,Second,9813
PHYSICS INFORMED MACHINE LEARNING SMALL BUSINESS INNOVATIVE RESEARCH PHASE II,Second,9814
JLTV GADS,Second,9815
ATLAS PS1 COVAR BASE CLIN 1,Second,9816
MOD TO CHANGE MILESTONE PAYMENT SCHEDULE,Second,9817
ATLAS PS1 COVAR DE-SCOPE MODIFICATION,Second,9818
BLAST MITIGATION COMPOSITE SANDWICH COMPOSITE,Second,9819
ATLAS PS1 NORTHROP GRUMMAN BASE CLIN. UPDATING MILESTONES,Second,9820
ZYLINIUM RESEARCH OTA,Second,9821
NODAR OTA,Second,9822
ARTIFICIAL INTELLIGENCE FOR PROACTIVE VEHICLES (PCVMS) SMALL BUSINESS INNOVATIVE RESEARCH PHASE II,Second,9823
PMA SBIR PHASE II,Second,9824
MUST 2D DETECTION AND DETERRENCE SYSTEM SMALL BUSINESS INNOVATIVE RESEARCH PROGRAM PHASE II,Second,9825
XCARGO PROTOTYPE DEVELOPMENT,Second,9826
SHARED SPECTRUM OTA,Second,9827
DOUBLE NANO-UAS ENDURANCE WITH SILICON NANOWIRE LITHIUM-ION BATTERY CELLS,Second,9828
FUNDING AND DE SCOPE AMENDMENT,Second,9829
HYPERSONIC FLIGHT TEST SUPPORT DEVELOPMENT,Second,9830
I3 OTA BASE,Second,9831
ALOFT SENSING OTA,Second,9832
MINE SAFETY AND ARMING DEVICE PROTOTYPES,Second,9833
MINE SAFETY AND ARMING DEVICE,Second,9834
APPLIED MACHINE LEARNING OPTIMIZED CLOUD ENVIRONMENT WITH END-TO-END ENCRYPTION UTILIZING IDENTITY BASED SECURITY WITH POLYMORPHIC ENCRYPTION,Second,9835
AUTOMATIC IMPLEMENTATION OF SECURE SILICON (AISS),Second,9836
IMMERSIVE WISDOM OTA,Second,9837
"[AUTOMATIC IMPLEMENTATION OF SECURE SILICON (AISS), HR001119S0044]",Second,9838
WIND TALKER INNOVATIONS OTA,Second,9839
"ME2021-0095 PROPOSAL TITLED ""INTEGRATED CALIBRATION SYSTEM FOR HYPERION INFRASOUND SENSORS""",Second,9840
MCHEL DESIGN,Second,9841
"OTHER TRANSACTION FOR PROTOTYPE AGREEMENT FOR RESEARCH FOR THE
ARMY CORPS OF ENGINEERS U438150",Second,9842
HOWL SBIR PHASE II,Second,9843
"PANDEMIC PREVENTION PLATFORM (P3), THIS IS COVID-19 RELATED RESEARCH.",Second,9844
"OTHER TRANSACTION FOR PROTOTYPE AGREEMENT FOR RESEARCH FOR THE
ARMY CORPS OF ENGINEERS ME2021-0077 U438220",Second,9845
"SCEC-18-0004, POTA - DREAMR - 2ND AWARD CAT 2 FUNDING",Second,9846
THIS ACTION EXTENDS MILESTONE DELIVERY DATES FOR MILESTONES 12 AND 13 PER THE VENDOR'S REQUEST AND ALSO REALIGNS SOME MILESTONES.,Second,9847
THE PURPOSE OF THIS MODIFICATION IS TO ADD ATTACHMENT 3_DRS DELIVERABLES TABLE 19DEC2019.,Second,9848
"THE PURPOSE OF THIS MODIFICATION IS TO INITIATE AND ADD FUNDING TO MILESTONES 13, 14, 16, A8, A9, A10, AND A11.",Second,9849
ADD DD FORM 254,Second,9850
INCORPORATE REVISED MILESTONE PAYMENT SCHEDULE.,Second,9851
THE PURPOSE OF THIS MODIFICATION IS TO ADD OPTION AND TO PROVIDE FUNDING FOR MILESTONE PAYMENTS.,Second,9852
"SCEC-18-0004, BASE PERFORMANCE",Second,9853
CHANGE ORDER MODIFICATION AND FUNDING,Second,9854
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTIONAL PHASE VI.,Second,9855
"OPTION EXERCISE, INCREMENTAL FUNDING.",Second,9856
SBIR PHASE II SOCOM 21.2-D003 SUBMERSIBLE COMPRESSION PUMP,Second,9857
"MANUFACTURING, MATERIALS, AND MASS-EFFICIENT DESIGN (NOM4D)
TENSION PRECISION STRUCTURES",Second,9858
SCIENCE OF ATOMIC VAPORS FOR NEW TECHNOLOGIES (SAVANT),Second,9859
SBIR PHASE II SOCOM 21.2-D003 STAND OFF PRECISION MISSILE,Second,9860
"NANOSHEET FOR HIGH PERFORMANCE LOW TEMPERATURES ELECTRONICS
A LOW TEMPERATURE LOGIC TECHNOLOGY (LTLT), TA 1 PROJECT",Second,9861
DE TESTBED POTA,Second,9862
MODIFICATION TO ADD INCREMENTAL FUNDING.,Second,9863
HELEX-II,Second,9864
PROTOTYPE OT FOR THE DEVELOPMENT OF A GSR.,Second,9865
SRC OTAP: COPPER COAT SYSTEM,Second,9866
ORAL DIETARY SUPPLEMENT FOR U.S. NAVY DOLPHINS (SBIR PHASE II),Second,9867
SCIENCE OF ATOMIC VAPORS FOR NEW TECHNOLORIES (SAVANT),Second,9868
IGF::OT::IGF INCREMENTAL FUND MILESTONE 4,Second,9869
IGF::OT::IGF INCREMENTALLY FUND MILESTONE 4,Second,9870
IGF::OT::IGF INCREMENTALLY FUND MILESTONE 6,Second,9871
"IGF::OT::IGF INCREMENTALLY FUND MILESTONE 7 AND INCORPORATE ARTICLE XXII, ENSURING COVID-19 SAFETY PROTOCOLS",Second,9872
THE PURPOSE OF THIS MODIFICATION IS TO REVISE THE PERIOD OF PERFORMANCE.,Second,9873
IGF::OT::IGF AWARD TO HONEYWELL FOR AOI ICS SOC,Second,9874
"AWARDED A BASE OTA FOR THE ACQUISITION OF PROTOTYPE SERVICES IN THE OBJECTIVE AREAS OF AUTOMOTIVE CYBER SECURITY, VEHICLE SAFETY TECHNOLOGIES, VEHICLE LIGHT WEIGHTING, AUTONOMOUS VEHICLES AND INTELLIGENT SYSTEMS AND CONNECTED VEHICLES",Second,9875
IGF::OT::IGT THIS MODIFICATION IS TO FUND CONSORTIUM BUILDING AND PROJECT SOURCING SERVICES.,Second,9876
IGF::OT::IGT THIS ADMINISTRATIVE MOD ADDS RECIPIENTS CAGE AND DUNS CODES TO THE AGREEMENT.,Second,9877
IGF::OT::IGT THIS MODIFICATION ADDS TWO (2) TECHNOLOGY OBJECTIVE AREAS: PROPULSION TECHNOLOGIES AND ACTIVE SUSPENSION TECHNOLOGIES.,Second,9878
IGF::OT::IGT THIS MODIFICATION ADDS PROJECT DA2-PA004 TO THE AGREEMENT.,Second,9879
IGF::OT::IGT THIS MODIFICATION ADDS PROJECT DA2-PA018 TO THE AGREEMENT.,Second,9880
"IGF::OT::IGT THIS MODIFICATION ADDS 4 WORK DIRECTIVES (002, 003, 004, 005) UNDER PROJECT DA2-PA004 TO THE AGREEMENT.",Second,9881
IGF::OT::IGT THIS MODIFICATION ADDS 2 WORK DIRECTIVE REVISIONS (002-1 AND 005-1) UNDER PROJECT DA2-PA004 TO THE AGREEMENT..,Second,9882
IGF::OT::IGT THIS MODIFICATION ADDS PROJECT DA2-PA008 TO THE AGREEMENT.,Second,9883
IGF::OT::IGT THIS MODIFICATION ADDS 1 WORK DIRECTIVE (001) UNDER PROJECT DA2-PA004 TO THE AGREEMENT.,Second,9884
IGF::OT::IGT THIS MODIFICATION ADDS 1 WORK DIRECTIVE REVISION (01-01) UNDER PROJECT DA2-PA018 TO THE AGREEMENT.,Second,9885
IGF::OT::IGT THIS MODIFICATION ADDS 1 WORK DIRECTIVE REVISION (001-1) UNDER PROJECT DA2-PA004 TO THE AGREEMENT.,Second,9886
IGF::OT::IGT THIS MODIFICATION ADDS PROJECT DA2-PA009 TO THE AGREEMENT.,Second,9887
IGF::OT::IGT THIS MODIFICATION ADDS 1 WORK DIRECTIVE (007) UNDER PROJECT DA2-PA004 TO THE AGREEMENT.,Second,9888
IGF::OT::IGT THIS MODIFICATION ADDS 1 WORK DIRECTIVE REVISION (01-03) UNDER PROJECT DA2-PA018 TO THE AGREEMENT.,Second,9889
IGF::OT::IGT THIS MODIFICATION ADDED COST REIMBURSEMENT PROVISIONS TO THE AGREEMENT AND REVISIONS TO OTHER CLAUSES.,Second,9890
IGF::OT::IGT THIS MODIFICATION ADDS 1 WORK DIRECTIVE REVISION (007-1) TO ADD GFE UNDER PROJECT DA2-PA004 TO THE AGREEMENT.,Second,9891
"IGF::OT::IGT THIS MODIFICATION ADDS INCORPORATE REVISION (REV 2) TO WORK DIRECTIVE PA0004-001, AND REV 1 TO WORK DIRECTIVE PA004-003.",Second,9892
IGF::OT:IGT  THIS MODIFICATION ADDS WORK DIRECTIVE REVISIONS PA019-01-04 AT ADDITIONAL COST.,Second,9893
"IGF::OT::IGT  ADD THE BRADLEY TRANSMISSION PROROTYPE PROJECT, DA2-PA021, TO THE DA2 OTA.",Second,9894
IGF::OT:IGT  THIS MODIFICATION TO ADD THE INNOVATIVE COMBAT TRANSMISSION (ICT) PROTOTYPE PROJECT DA2-PA003 TO THE DA2 OTA.,Second,9895
"IGF::OT:IGT  THIS MODIFICATION IS TO INCORPORATE REV 2 TO WORK DIRECTIVE (WD) PA004-002, AND REV 2 TO WD PA0004-0003 FOR PERFORMANCE UNDER THE NGCV-EP PROJECT.",Second,9896
"IGF::OT::IGT  THIS MODIFICATION INCORPORATES REV 1 TO PA0009, FOR PERFORMANCE UNDER THE IEME PROJECT.",Second,9897
"THIS MODIFICATION ADDS WORK DIRECTIVE REVISION PA018-01-01, REVISION 05 FOR PERFORMANCE UNDER THE FRICTION STIR-WELDED HULL PROJECT, DA-2-PA018.",Second,9898
"IGF::OT::IGT  THIS MODIFICATION IS TO INCORPORATE REV 3 TO WORK DIRECTIVE (WD) PA004-002, FOR PERFORMANCE UNDER NGCV-EP PROJECT, WHICH WAS INCORPORATED INTO THE DA2 OTA.",Second,9899
IGF::OT:IGT  THIS MODIFICATION IS TO REVISE THE PROJECT AGREEMENT DOCUMENT FOR DA2-PA003 - ATTACHMENT A0005.,Second,9900
IGF::OT:IGT  THIS MODIFICATION IS TO REASSIGN PROJECT DA2-PA019,Second,9901
IGF::OT:IGT  THIS MODIFICATION IS TO INCORPORATE REV 1 TO WD PA004-004 TO THE DA2 OTA.,Second,9902
IGF::OT::IGT:  THIS MODIFICATION IS TO INCORPORATE REV 3 TO WD PA004-001 INTO THE DA2 OTA.,Second,9903
IGF::OT::IGT:  THIS MODIFICATION IS TO INCORPORATE REV 1 TO NGCV-EP PROJECT AGREEMENT DA2-PA004 FOR DA2 OTA.,Second,9904
IGF::OT::IGT:  THIS MODIFICATION IS TO INCORPORATE REV 002 TO TIG PROJECT AGREEMENT DA2-PA019,Second,9905
IGF::OT::IGT: THIS MODIFICATION IS TO INCORPORATE REV 4 AND REV 1 TO WORK DIRECTIVE (WD) PA-0004-010 FOR PERFORMANCE UNDER THE NGCV-EP PROJECT.,Second,9906
IGF::OT::IGT: THIS MODIFICATION IS TO ADD THE SIGNATURE MANAGEMENT PROTOTYPE (SMP) PROJECT DA2-PA023 TO THE DA2 OTA.,Second,9907
"IGF::OT::IGT:  THIS MODIFICATION IS TO CORRECT THE FUND CITATIONS FOR FUNDING THAT WAS ADDED VIA MODIFICATION P00033 FOR REV 4 TO WORK DIRECTIVE (WD) PA004-002, FOR PERFORMANCE UNDER THE NGCV-EP PROJECT, WHICH WAS INCORPORATED INTO DA2 OTA VIA MOD W56HZV-16-9-0001 P00006.",Second,9908
"CORRECT THE FUND CITATIONS FOR FUNDING THAT WAS ADDED VIA MODIFICATION P00034 FOR PA023, FOR PERFORMANCE UNDER THE SIGNATURE MANAGEMENT PROTOTYPE (SMP) PROJECT DA2-PA023, WHICH WAS INCORPORATED INTO THE DA2 OTA VIA MODIFICATION W56HZV6-9-0001 P00034; AND REVISE THE ASSOCIATED FUND CITATIONS FOR THIS MODIFICATION AND UPDATE DA2 OTA ATTACHMENT 005 TABLE OF AGREEMENT FUNDING AND MODIFICATIONS",Second,9909
"INCORPORATE REV 2 TO WD PA004-0004 FOR PERFORMANCE UNDER THE NGCV-EP PROJECT, WHICH WAS INCORPORATED INTO DA2 OTA VIA MOD W56HZV1690001 P00006.",Second,9910
"REVISE THE DA2 EXHIBIT 001, REVISE THE PROJECT AGREEMENT DOC FOR DA2-PA0003 SECTION II AND ADD ASSOCIATED FUND CITATION FOR MOD AND UPDATE DA2 OTA ATTACHMENT 005 AND AND ATTACHMENT 006.",Second,9911
"ADD INCREMENTAL FUNDING IN THE AMOUNT OF $358,415.00 TO PARTIALLY FUND FY19 ALINS ON PA023 SIGNATURE MANAGEMENT PROTOTYPE PROJECT AND REVISE ATTACHMENT 005 AND 006.",Second,9912
INCORPORATE REV 2 TO WD PA004-010 INCORPORATED IN THE DA2 OTA VIA MOD P00031. FUDNING IS ADDED FOR THE PROJECT AGREEMENT HOLDER AND DA2 OTA ADMINISTRATIVE FEE.,Second,9913
REVISE THE PROJECT AGREEMENT DOCUMENT FOR DA2-PA021 REV 01 EXTEND COMPLETION DATE.  UPDATE ATTACHMENT 005 AND ATTACHMENT 006.,Second,9914
"INCORPORATE REV 4 AND REV 5 TO WD PA004-001 FOR PERFORMANCE UNDER NGCV-EP PROJECT.  
UPDATE ATTACHMENT 005 AND 006.",Second,9915
"INCORPORATE REV 3 TO WD PA004-0011 FOR PERFORMANCE UNDER THE NGCV-EP PROJECT.  
UPDATE ATTACHMENT 006.",Second,9916
REVISE AND UPDATE ATTACHMENT 0005: TABLE OF AGREEMENT FUNDING AND MODIFICATIONS.,Second,9917
UPDATE ATTACHMENT 0006:  TABLE OF PROJECT AGREEMENT AND WORK DIRECTIVES.,Second,9918
UPDATE ATTACHMENT 0006; TABLE OF PROJECT AGREEMENT AND WORK DIRECTIVES.,Second,9919
UPDATE ATTACHMENT 006:  TABLE OF PROJECT AGREEMENTS AND WORK DIRECTIVES.,Second,9920
ADD THE 3TGIG-FMTV INTEGRATION PROTOTYPE PROJECT AGREEMENT DA2-PA028.  ADD GFP AND EQUIPMENT TO ATTACHMENT 0003.  ADD THE ASSOCIATED FUND CITATIONS FOR THIS MOD AND UPDATE ATTACHMENT 0005.,Second,9921
INCORPORATE REVISION (REV 002)2 TO DA2-PA023 FOR PERFORMANCE UNDER THE SIGNATURE MGMT PROTOTYPE (SMP) PROJECT.  UPDATE ATTACHMENT 006.,Second,9922
"INC REV 6 WD PA004-002.  REV 3 TO WD PA004-005, REV 4 TO WD PA004-010, REV 1 TO WD PA004-011 AND REV 2 TO WDPA004-012.",Second,9923
INC REV 2 TO WD PA004-011 AND INC. REV 01 TO DA2-PA028.  UPDATE ATTACHMENT 0006.,Second,9924
"INCORPORATE REVISION (REV 003) TO DA2-PA023, FOR PERFORMANCE UNDER THE SIGNATURE MANAGEMENT PROTOTYPE (SMP).",Second,9925
"INCORPORATE REVISION (REV 02) TO DA2-PA021, FOR PERFORMANCE UNDER BRADLEY TRANSMISSION PROTOTYPE PROJECT.",Second,9926
"INCORPORATE PROJECT AGREEMENT DA2 PA27, FOR PERFORMANCE UNDER THE INTRUSIVE DEFENSE SYSTEM (IDS) PROTOTYPE PROJECT.  UPDATE ATTACHMENT 006: TABLE OF PROJECT AGREEMENT AND WD.",Second,9927
"INCORPORATE PROJECT AGREEMENT DA2-PA27B, FOR PERFORMANCE UNDER THE INTRUSIVE DEFENSE SYSTEM (IDS) PROTOTYPE PROJECT INCORPORATED INTO THE DA2 OTA.  UPDATE ATTACHMENT 0006.",Second,9928
"CREATE A SEPARATE AGREEMENT LINE ITEM NUMBER (ALIN) FOR THE FIXED FEE FOR PROJECT DA2-PA027A (PROJECT AGREEMENT HOLDER DG TECHNOLOGY, COST PLUS FIXED FEE TYPE AGREEMENT) IN TABLE 005.  ADD THE ASSOCIATED FUND CITATIONS FOR THIS MODIFICATION, CORRECT FUND CITATIONS FOR ENTRIES UNDER MODIFICATION P00056.  UPDATE ATTACHMENT 005 AND 006.",Second,9929
INCORPORATE REVISION (REV 004) TO DA-PA019 FOR PERFORMANCE UNDER 4000 TRANSMISSION INTEGRAL GENERATOR (4TIG) AND A 3000 (3TIG) PROJECT.,Second,9930
"INCORPORATE PROJECT AGREEMENT DA2-PA027C, FOR PERFORMANCE UNDER THE INTRUSIVE DEFENSE SYSTEMS (IDS) PROTOTYPE PROJECT WHICH WAS ADDED INTO THE DA2 OTA.  UPDATE ATTACHMENT 0006.",Second,9931
"INCORPORATE PROJECT AGREEMENT DA2-PPA022, FOR PERFORMANCE UNDER THE M88A3 SINGLE VEHICLE RECOVERY PROTOTYPE PROJECT.",Second,9932
INCORPORATE PROJECT AGREEMENT DA2-PA028 REV 02 FOR PERFORMANCE UNDER 3TIG-FMTV INTEGRATION PROTOTYPE PROJECT.,Second,9933
